Ref,Val,Package,PosX,PosY,Rot,Side
"U11","SRV05-4","SOT-23-6",75.565000,-99.695000,90.000000,top
"U13","AMS1117-3.3","SOT-223",125.476000,-129.540000,0.000000,top
"U41","74AHC04","TSSOP-14_4.4x5mm_P0.65mm",101.600000,-116.332000,0.000000,top
"U42","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",155.575000,-129.540000,270.000000,top
"U43","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",138.430000,-129.540000,270.000000,top
"U45","TC4427","SOIC-8_3.9x4.9mm_P1.27mm",106.680000,-146.050000,180.000000,top
"U46","TC4427","SOIC-8_3.9x4.9mm_P1.27mm",147.320000,-146.050000,180.000000,top
"U51","DAC8562SDGSR","VSSOP-10_3x3mm_P0.5mm",100.965000,-106.045000,270.000000,top
"U52","NE5532","SOIC-8_3.9x4.9mm_P1.27mm",103.505000,-93.345000,270.000000,top
"U53","NE5532","SOIC-8_3.9x4.9mm_P1.27mm",117.475000,-93.345000,270.000000,top
"svg2mod","G***","muvi",219.075000,-133.350000,0.000000,top
"svg2mod","G***","muvi_5mm",119.380000,-137.160000,0.000000,top
